CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,ICD10CMCode,concept_code,concept_id
C2844628,ENG,P,L9388682,PF,S11629906,N,A17792364,,,S52.133B,ICD10CM,PT,S52.133B,"Displaced fracture of neck of unspecified radius, initial encounter for open fracture type I or II",4,N,,,['Injury or Poisoning'],S52133B,S52.133B,45573750
C2844645,ENG,P,L9340195,PF,S11653100,Y,A17805180,,,S52.134B,ICD10CM,PT,S52.134B,"Nondisplaced fracture of neck of right radius, initial encounter for open fracture type I or II",4,N,,,['Injury or Poisoning'],S52134B,S52.134B,45607524
C2844664,ENG,P,L9340190,PF,S11653073,N,A17856212,,,S52.135D,ICD10CM,PT,S52.135D,"Nondisplaced fracture of neck of left radius, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52135D,S52.135D,45583381
C2844673,ENG,P,L9350349,PF,S11653071,N,A17830909,,,S52.135P,ICD10CM,PT,S52.135P,"Nondisplaced fracture of neck of left radius, subsequent encounter for closed fracture with malunion",4,N,,,['Injury or Poisoning'],S52135P,S52.135P,45535174
C2844686,ENG,P,L9350358,PF,S11653201,N,A17779646,,,S52.136J,ICD10CM,PT,S52.136J,"Nondisplaced fracture of neck of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",4,N,,,['Injury or Poisoning'],S52136J,S52.136J,45535176
C2844694,ENG,P,L9412664,PF,S11660395,Y,A17843604,,,S52.18,ICD10CM,HT,S52.18,Other fracture of upper end of radius,4,N,256.0,,['Injury or Poisoning'],S5218,S52.18,1573136
C2844699,ENG,P,L9402304,PF,S11660403,Y,A17869104,,,S52.181D,ICD10CM,PT,S52.181D,"Other fracture of upper end of right radius, subsequent encounter for closed fracture with routine healing",4,N,,,['Injury or Poisoning'],S52181D,S52.181D,45607525
C2844715,ENG,P,L9371808,PF,S12055826,Y,A18911756,,,S52.182C,ICD10CM,PT,S52.182C,"Other fracture of upper end of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",4,N,,,['Injury or Poisoning'],S52182C,S52.182C,45549685
C2844721,ENG,P,L9392065,PF,S12055836,N,A18922228,,,S52.182J,ICD10CM,PT,S52.182J,"Other fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",4,N,,,['Injury or Poisoning'],S52182J,S52.182J,45588228
C2844722,ENG,P,L9361479,PF,S12055830,Y,A18919660,,,S52.182K,ICD10CM,PT,S52.182K,"Other fracture of upper end of left radius, subsequent encounter for closed fracture with nonunion",4,N,,,['Injury or Poisoning'],S52182K,S52.182K,45535179
