code,code_type,description,concept_id,code_class,concept_name,domain_id,concept_code,domain_id,concept_class_id,vocabulary_id,mapped_concept_id,mapped_concept_name,mapped_domain_id,mapped_concept_code,mapped_concept_class_id,mapped_vocabulary_id
F10.232,ICD10CM,Alcohol dependence with withdrawal with perceptual disturbance,45566775,alcohol,Alcohol dependence with withdrawal with perceptual disturbance,Condition,F10.232,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.232,ICD10CM,Alcohol dependence with withdrawal with perceptual disturbance,45566775,alcohol,Alcohol dependence with withdrawal with perceptual disturbance,Condition,F10.232,Condition,6-char billing code,ICD10CM,439277,Alcohol withdrawal hallucinosis,Condition,191476005,Disorder,SNOMED
F10.239,ICD10CM,"Alcohol dependence with withdrawal, unspecified",45533065,alcohol,"Alcohol dependence with withdrawal, unspecified",Condition,F10.239,Condition,6-char billing code,ICD10CM,375519,Alcohol withdrawal,Condition,191480000,Disorder,SNOMED
F10.239,ICD10CM,"Alcohol dependence with withdrawal, unspecified",45533065,alcohol,"Alcohol dependence with withdrawal, unspecified",Condition,F10.239,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.24,ICD10CM,Alcohol dependence with alcohol-induced mood disorder,45562002,alcohol,Alcohol dependence with alcohol-induced mood disorder,Condition,F10.24,Condition,5-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.24,ICD10CM,Alcohol dependence with alcohol-induced mood disorder,45562002,alcohol,Alcohol dependence with alcohol-induced mood disorder,Condition,F10.24,Condition,5-char billing code,ICD10CM,37164789,Mood disorder caused by ethanol,Condition,1234779007,Disorder,SNOMED
F10.250,ICD10CM,Alcohol dependence with alcohol-induced psychotic disorder with delusions,45562003,alcohol,Alcohol dependence with alcohol-induced psychotic disorder with delusions,Condition,F10.250,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.250,ICD10CM,Alcohol dependence with alcohol-induced psychotic disorder with delusions,45562003,alcohol,Alcohol dependence with alcohol-induced psychotic disorder with delusions,Condition,F10.250,Condition,6-char billing code,ICD10CM,442582,Alcohol-induced psychotic disorder with delusions,Condition,61144001,Disorder,SNOMED
F10.251,ICD10CM,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,45557155,alcohol,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,Condition,F10.251,Condition,6-char billing code,ICD10CM,372607,Alcohol hallucinosis,Condition,7052005,Disorder,SNOMED
F10.251,ICD10CM,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,45557155,alcohol,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,Condition,F10.251,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.259,ICD10CM,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",45571708,alcohol,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",Condition,F10.259,Condition,6-char billing code,ICD10CM,435243,Alcohol dependence,Condition,66590003,Disorder,SNOMED
F10.259,ICD10CM,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",45571708,alcohol,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified",Condition,F10.259,Condition,6-char billing code,ICD10CM,37164773,Psychosis caused by ethanol,Condition,1231846001,Disorder,SNOMED
F10.26,ICD10CM,Alcohol dependence with alcohol-induced persisting amnestic disorder,45595847,alcohol,Alcohol dependence with alcohol-induced persisting amnestic disorder,Condition,F10.26,Condition,5-char billing code,ICD10CM,374623,Alcohol amnestic disorder,Condition,73097000,Disorder,SNOMED
