code,code_type,description,concept_id,code_class
I70.299,ICD10CM,"Other atherosclerosis of native arteries of extremities, unspecified extremity",45605833,pvd
I70.313,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",45557572,pvd
I70.329,ICD10CM,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity",45601067,pvd
I70.341,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh,45562389,pvd
I70.409,ICD10CM,"Unspecified atherosclerosis of autologous vein bypass graft(s) of the extremities, unspecified extremity",45538425,pvd
I70.412,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, left leg",45586614,pvd
I70.413,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with intermittent claudication, bilateral legs",45572121,pvd
I70.421,ICD10CM,"Atherosclerosis of autologous vein bypass graft(s) of the extremities with rest pain, right leg",45576907,pvd
I70.438,ICD10CM,Atherosclerosis of autologous vein bypass graft(s) of the right leg with ulceration of other part of lower leg,45557577,pvd
I70.502,ICD10CM,"Unspecified atherosclerosis of nonautologous biological bypass graft(s) of the extremities, left leg",45557578,pvd
I70.523,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, bilateral legs",45586616,pvd
I70.529,ICD10CM,"Atherosclerosis of nonautologous biological bypass graft(s) of the extremities with rest pain, unspecified extremity",45543212,pvd
I70.531,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of thigh,45557580,pvd
I70.532,ICD10CM,Atherosclerosis of nonautologous biological bypass graft(s) of the right leg with ulceration of calf,45601074,pvd
I70.599,ICD10CM,"Other atherosclerosis of nonautologous biological bypass graft(s) of the extremities, unspecified extremity",45548069,pvd
I70.613,ICD10CM,"Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, bilateral legs",45572126,pvd
I70.719,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",45538435,pvd
I70.729,ICD10CM,"Atherosclerosis of other type of bypass graft(s) of the extremities with rest pain, unspecified extremity",45581806,pvd
I70.799,ICD10CM,"Other atherosclerosis of other type of bypass graft(s) of the extremities, unspecified extremity",45601079,pvd
Z95.812,ICD10CM,Presence of fully implantable artificial heart,45576218,pvd
Z95.828,ICD10CM,Presence of other vascular implants and grafts,45576220,pvd
I73.81,ICD10CM,Erythromelalgia,45538444,pvd
I77.1,ICD10CM,Stricture of artery,35207869,pvd
I73.9,ICD10CM,"Peripheral vascular disease, unspecified",35207860,pvd
Z95.9,ICD10CM,"Presence of cardiac and vascular implant and graft, unspecified",35225419,pvd
I70.231,ICD10CM,Atherosclerosis of native arteries of right leg with ulceration of thigh,45591495,pvd
I70.242,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of calf,45581800,pvd
I70.249,ICD10CM,Atherosclerosis of native arteries of left leg with ulceration of unspecified site,45567209,pvd
I70.262,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, left leg",45605832,pvd
I70.269,ICD10CM,"Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity",45552824,pvd
I70.303,ICD10CM,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",45601066,pvd
I70.331,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh,45557573,pvd
I70.333,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle,45586613,pvd
I70.335,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot,45591498,pvd
I70.338,ICD10CM,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg,45548063,pvd
