CUI,LAT,TS,LUI,STT,SUI,ISPREF,AUI,SAUI,SCUI,SDUI,SAB,TTY,CODE,STR,SRL,SUPPRESS,CVF,dummy,STYs,PREFIX_CODE,ICD10CMCode,concept_code,concept_id,domain_id
C0015696,ENG,P,L0015696,VCW,S0354924,N,A17826790,,,K70.0,ICD10CM,PT,K70.0,Alcoholic fatty liver,4,N,256.0,,['Disease or Syndrome'],K70,K700,K70.0,35208330,Condition
C0016807,ENG,S,L0815734,PF,S0889262,N,A17852200,,,K59.9,ICD10CM,PT,K59.9,"Functional intestinal disorder, unspecified",4,N,256.0,,['Disease or Syndrome'],K59,K599,K59.9,35208293,Condition
C0017205,ENG,P,L0017205,VC,S0651756,N,A17825468,,,E75.22,ICD10CM,PT,E75.22,Gaucher disease,4,N,256.0,,['Disease or Syndrome'],E75,E7522,E75.22,45581381,Condition
C0017327,ENG,P,L1007399,PF,S1288947,N,A17800752,,,I70.91,ICD10CM,PT,I70.91,Generalized atherosclerosis,4,N,256.0,,['Disease or Syndrome'],I70,I7091,I70.91,45601080,Condition
C0017455,ENG,P,L0017455,PF,S0044581,N,A17862903,,,B48.3,ICD10CM,PT,B48.3,Geotrichosis,4,N,256.0,,['Disease or Syndrome'],B48,B483,B48.3,35205887,Condition
C0017589,ENG,P,L0017589,PF,S0044867,N,A17824740,,,A24.0,ICD10CM,PT,A24.0,Glanders,4,N,256.0,,['Disease or Syndrome'],A24,A240,A24.0,35205496,Condition
C0017924,ENG,S,L0024982,VO,S0686095,N,A17786949,,,E74.04,ICD10CM,PT,E74.04,McArdle disease,4,N,256.0,,['Disease or Syndrome'],E74,E7404,E74.04,45566757,Condition
C0018041,ENG,S,L9594890,PF,S12053191,Y,A18910936,,,Y93.53,ICD10CM,PT,Y93.53,"Activity, golf",4,N,256.0,,['Daily or Recreational Activity'],Y93,Y9353,Y93.53,45556802,Observation
C0018204,ENG,P,L0018204,PF,S0003121,N,A17802463,,,N41.4,ICD10CM,PT,N41.4,Granulomatous prostatitis,4,N,256.0,,['Disease or Syndrome'],N41,N414,N41.4,45558154,Condition
C0018572,ENG,S,L0391293,PF,S0483726,N,A17799058,,,B08.4,ICD10CM,PT,B08.4,Enteroviral vesicular stomatitis with exanthem,4,N,256.0,,['Disease or Syndrome'],B08,B084,B08.4,35205755,Condition
C0018818,ENG,P,L0042513,VO,S0001834,N,A17841510,,,Q21.0,ICD10CM,PT,Q21.0,Ventricular septal defect,4,N,256.0,,['Congenital Abnormality'],Q21,Q210,Q21.0,35210800,Condition
C0018926,ENG,P,L0018926,PF,S0047444,N,A17814014,,,K92.0,ICD10CM,PT,K92.0,Hematemesis,4,N,256.0,,['Sign or Symptom'],K92,K920,K92.0,35208412,Condition
C0019065,ENG,P,L0019065,PF,S0047673,N,A17788300,,,K66.1,ICD10CM,PT,K66.1,Hemoperitoneum,4,N,256.0,,['Pathologic Function'],K66,K661,K66.1,35208326,Condition
