"Code","Description","id"
"A5279","Other symptomatic late syphilis",367
"A528","Late syphilis, latent",368
"A529","Late syphilis, unspecified",369
"A530","Latent syphilis, unspecified as early or late",370
"A539","Syphilis, unspecified",371
"A5400","Gonococcal infection of lower genitourinary tract, unspecified",372
"A5401","Gonococcal cystitis and urethritis, unspecified",373
"A5402","Gonococcal vulvovaginitis, unspecified",374
"A5403","Gonococcal cervicitis, unspecified",375
"A5409","Other gonococcal infection of lower genitourinary tract",376
"A541","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess",377
"A5421","Gonococcal infection of kidney and ureter",378
"A5422","Gonococcal prostatitis",379
"A5423","Gonococcal infection of other male genital organs",380
"A5424","Gonococcal female pelvic inflammatory disease",381
"A5429","Other gonococcal genitourinary infections",382
"A5430","Gonococcal infection of eye, unspecified",383
"A5431","Gonococcal conjunctivitis",384
"A5432","Gonococcal iridocyclitis",385
"A5433","Gonococcal keratitis",386
"A5439","Other gonococcal eye infection",387
"A5440","Gonococcal infection of musculoskeletal system, unspecified",388
"A5441","Gonococcal spondylopathy",389
"A5442","Gonococcal arthritis",390
"A5443","Gonococcal osteomyelitis",391
"A5449","Gonococcal infection of other musculoskeletal tissue",392
"A545","Gonococcal pharyngitis",393
"A546","Gonococcal infection of anus and rectum",394
"A5481","Gonococcal meningitis",395
"A5482","Gonococcal brain abscess",396
"A5483","Gonococcal heart infection",397
"A5484","Gonococcal pneumonia",398
"A5485","Gonococcal peritonitis",399
"A5486","Gonococcal sepsis",400
"A5489","Other gonococcal infections",401
"A549","Gonococcal infection, unspecified",402
"A55","Chlamydial lymphogranuloma (venereum)",403
"A5600","Chlamydial infection of lower genitourinary tract, unspecified",404
"A5601","Chlamydial cystitis and urethritis",405
"A5602","Chlamydial vulvovaginitis",406
"A5609","Other chlamydial infection of lower genitourinary tract",407
"A5611","Chlamydial female pelvic inflammatory disease",408
"A5619","Other chlamydial genitourinary infection",409
"A562","Chlamydial infection of genitourinary tract, unspecified",410
"A563","Chlamydial infection of anus and rectum",411
"A564","Chlamydial infection of pharynx",412
"A568","Sexually transmitted chlamydial infection of other sites",413
"A57","Chancroid",414
"A58","Granuloma inguinale",415
"A5900","Urogenital trichomoniasis, unspecified",416
"A5901","Trichomonal vulvovaginitis",417
"A5902","Trichomonal prostatitis",418
"A5903","Trichomonal cystitis and urethritis",419
"A5909","Other urogenital trichomoniasis",420
"A598","Trichomoniasis of other sites",421
"A599","Trichomoniasis, unspecified",422
"A6000","Herpesviral infection of urogenital system, unspecified",423
"A6001","Herpesviral infection of penis",424
"A6002","Herpesviral infection of other male genital organs",425
"A6003","Herpesviral cervicitis",426
"A6004","Herpesviral vulvovaginitis",427
"A6009","Herpesviral infection of other urogenital tract",428
"A601","Herpesviral infection of perianal skin and rectum",429
"A609","Anogenital herpesviral infection, unspecified",430
"A630","Anogenital (venereal) warts",431
"A638","Other specified predominantly sexually transmitted diseases",432
"A64","Unspecified sexually transmitted disease",433
"A65","Nonvenereal syphilis",434
"A660","Initial lesions of yaws",435
"A661","Multiple papillomata and wet crab yaws",436
"A662","Other early skin lesions of yaws",437
"A663","Hyperkeratosis of yaws",438
"A664","Gummata and ulcers of yaws",439
"A665","Gangosa",440
"A666","Bone and joint lesions of yaws",441
"A667","Other manifestations of yaws",442
"A668","Latent yaws",443
"A669","Yaws, unspecified",444
"A670","Primary lesions of pinta",445
"A671","Intermediate lesions of pinta",446
"A672","Late lesions of pinta",447
"A673","Mixed lesions of pinta",448
"A679","Pinta, unspecified",449
"A680","Louse-borne relapsing fever",450
"A681","Tick-borne relapsing fever",451
"A689","Relapsing fever, unspecified",452
"A690","Necrotizing ulcerative stomatitis",453
"A691","Other Vincent's infections",454
"A6920","Lyme disease, unspecified",455
"A6921","Meningitis due to Lyme disease",456
"A6922","Other neurologic disorders in Lyme disease",457
"A6923","Arthritis due to Lyme disease",458
"A6929","Other conditions associated with Lyme disease",459
"A698","Other specified spirochetal infections",460
"A699","Spirochetal infection, unspecified",461
"A70","Chlamydia psittaci infections",462
"A710","Initial stage of trachoma",463
"A711","Active stage of trachoma",464
"A719","Trachoma, unspecified",465
"A740","Chlamydial conjunctivitis",466
"A7481","Chlamydial peritonitis",467
"A7489","Other chlamydial diseases",468
"A749","Chlamydial infection, unspecified",469
"A750","Epidemic louse-borne typhus fever due to Rickettsia prowazekii",470
"A751","Recrudescent typhus [Brill's disease]",471
"A752","Typhus fever due to Rickettsia typhi",472
"A753","Typhus fever due to Rickettsia tsutsugamushi",473
"A759","Typhus fever, unspecified",474
"A770","Spotted fever due to Rickettsia rickettsii",475
"A771","Spotted fever due to Rickettsia conorii",476
"A772","Spotted fever due to Rickettsia siberica",477
"A773","Spotted fever due to Rickettsia australis",478
"A7740","Ehrlichiosis, unspecified",479
"A7741","Ehrlichiosis chafeensis [E. chafeensis]",480
"A7749","Other ehrlichiosis",481
"A778","Other spotted fevers",482
"A779","Spotted fever, unspecified",483
"A78","Q fever",484
"A790","Trench fever",485
"A791","Rickettsialpox due to Rickettsia akari",486
"A7981","Rickettsiosis due to Ehrlichia sennetsu",487
"A7982","Anaplasmosis [A. phagocytophilum]",488
"A7989","Other specified rickettsioses",489
"A799","Rickettsiosis, unspecified",490
"A800","Acute paralytic poliomyelitis, vaccine-associated",491
"A801","Acute paralytic poliomyelitis, wild virus, imported",492
"A802","Acute paralytic poliomyelitis, wild virus, indigenous",493
"A8030","Acute paralytic poliomyelitis, unspecified",494
"A8039","Other acute paralytic poliomyelitis",495
"A804","Acute nonparalytic poliomyelitis",496
"A809","Acute poliomyelitis, unspecified",497
"A8100","Creutzfeldt-Jakob disease, unspecified",498
"A8101","Variant Creutzfeldt-Jakob disease",499
"A8109","Other Creutzfeldt-Jakob disease",500
"A811","Subacute sclerosing panencephalitis",501
"A812","Progressive multifocal leukoencephalopathy",502
"A8181","Kuru",503
"A8182","Gerstmann-Straussler-Scheinker syndrome",504
"A8183","Fatal familial insomnia",505
"A8189","Other atypical virus infections of central nervous system",506
"A819","Atypical virus infection of central nervous system, unspecified",507
"A820","Sylvatic rabies",508
"A821","Urban rabies",509
"A829","Rabies, unspecified",510
"A830","Japanese encephalitis",511
"A831","Western equine encephalitis",512
"A832","Eastern equine encephalitis",513
"A833","St Louis encephalitis",514
"A834","Australian encephalitis",515
"A835","California encephalitis",516
"A836","Rocio virus disease",517
"A838","Other mosquito-borne viral encephalitis",518
"A839","Mosquito-borne viral encephalitis, unspecified",519
"A840","Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]",520
"A841","Central European tick-borne encephalitis",521
"A8481","Powassan virus disease",522
"A8489","Other tick-borne viral encephalitis",523
"A849","Tick-borne viral encephalitis, unspecified",524
"A850","Enteroviral encephalitis",525
"A851","Adenoviral encephalitis",526
"A852","Arthropod-borne viral encephalitis, unspecified",527
"A858","Other specified viral encephalitis",528
"A86","Unspecified viral encephalitis",529
"A870","Enteroviral meningitis",530
"A871","Adenoviral meningitis",531
"A872","Lymphocytic choriomeningitis",532
"A878","Other viral meningitis",533
